lang:语言描述                code:"语言代码"
lang:Arabic              	code:"ar"
lang:Azerbaijani         	code:"az-AZ"
lang:Basque              	code:"eu-ES"
lang:Belarusian          	code:"be"
lang:Bengali             	code:"bn-BD"
lang:Bosnian             	code:"bs"
lang:Bulgarian           	code:"bg"
lang:Burmese             	code:"my-MM"
lang:Catalan             	code:"ca"
lang:Chinese_PRC         	code:"zh-CN"
lang:Chinese_Taiwan      	code:"zh-TW"
lang:Chinese_Hong_Kong   	code:"zh-HK"
lang:Croatian            	code:"hr"
lang:Czech               	code:"cs-CZ"
lang:Danish              	code:"da-DK"
lang:Dutch               	code:"nl-NL"
lang:English_US          	code:"en-US"
lang:English_UK          	code:"en-GB"
lang:Estonian            	code:"et"
lang:Filipino            	code:"fil"
lang:Finnish             	code:"fi-FI"
lang:French_France       	code:"fr-FR"
lang:Galician            	code:"gl-ES"
lang:Georgian            	code:"ka-GE"
lang:German              	code:"de-DE"
lang:Greek               	code:"el-GR"
lang:Hebrew              	code:"iw-IL"
lang:Hindi               	code:"hi-IN"
lang:Hungarian           	code:"hu-HU"
lang:Indonesian          	code:"id"
lang:Italian             	code:"it-IT"
lang:Japanese            	code:"ja-JP"
lang:Javanese            	code:"jv"
lang:Kazakh              	code:"kk"
lang:Khmer               	code:"km-KH"
lang:Korean_South_Korea  	code:"ko-KR"
lang:Lao                 	code:"lo-LA"
lang:Latvian             	code:"lv"
lang:Lithuanian          	code:"lt"
lang:Macedonian          	code:"mk-MK"
lang:Malay               	code:"ms"
lang:Nepali              	code:"ne-NP"
lang:Norwegian           	code:"no-NO"
lang:Persian             	code:"fa"
lang:Polish              	code:"pl-PL"
lang:Portuguese_Brazil   	code:"pt-BR"
lang:Portuguese_Portugal 	code:"pt-PT"
lang:Romanian            	code:"ro"
lang:Russian             	code:"ru-RU"
lang:Serbian             	code:"sr"
lang:Sinhala             	code:"si-LK"
lang:Slovak              	code:"sk"
lang:Slovenian           	code:"sl"
lang:Spanish_Latin_America	code:"es-419"
lang:Spanish_Spain       	code:"es-ES"
lang:Swedish             	code:"sv-SE"
lang:Thai                	code:"th"
lang:Tibetan             	code:"bo"
lang:Turkish             	code:"tr-TR"
lang:Ukrainian           	code:"uk"
lang:Urdu                	code:"ur"
lang:Uzbek               	code:"uz"
lang:Vietnamese          	code:"vi"
